idblk,row,col,xpos,ypos,ncol_per_row,is_on_edge
373,18,13,0.67807,-0.00053,27,0
374,18,14,0.67807,0.04239,27,0
375,18,15,0.67807,0.08694,27,0
376,18,16,0.67807,0.12987,27,0
377,18,17,0.67807,0.1728,27,0
378,18,18,0.67807,0.21735,27,0
379,18,19,0.67807,0.26027,27,0
380,18,20,0.67807,0.3032,27,0
381,18,21,0.67807,0.34775,27,0
382,18,22,0.67807,0.39068,27,0
383,18,23,0.67807,0.4336,27,0
384,18,24,0.67807,0.47815,27,0
385,18,25,0.67807,0.52108,27,0
386,18,26,0.67807,0.56401,27,1
387,19,0,0.63514,-0.56507,27,1
388,19,1,0.63514,-0.52215,27,0
389,19,2,0.63514,-0.47922,27,0
390,19,3,0.63514,-0.43467,27,0
391,19,4,0.63514,-0.39174,27,0
392,19,5,0.63514,-0.34882,27,0
393,19,6,0.63514,-0.30427,27,0
394,19,7,0.63514,-0.26134,27,0
395,19,8,0.63514,-0.21842,27,0
396,19,9,0.63514,-0.17386,27,0
397,19,10,0.63514,-0.13094,27,0
398,19,11,0.63514,-0.08801,27,0
399,19,12,0.63514,-0.04346,27,0
400,19,13,0.63514,-0.00053,27,0
401,19,14,0.63514,0.04239,27,0
402,19,15,0.63514,0.08694,27,0
403,19,16,0.63514,0.12987,27,0
404,19,17,0.63514,0.1728,27,0
405,19,18,0.63514,0.21735,27,0
406,19,19,0.63514,0.26027,27,0
407,19,20,0.63514,0.3032,27,0
408,19,21,0.63514,0.34775,27,0
409,19,22,0.63514,0.39068,27,0
410,19,23,0.63514,0.4336,27,0
411,19,24,0.63514,0.47815,27,0
412,19,25,0.63514,0.52108,27,0
413,19,26,0.63514,0.56401,27,1
414,20,0,0.59222,-0.56507,27,1
415,20,1,0.59222,-0.52215,27,0
416,20,2,0.59222,-0.47922,27,0
417,20,3,0.59222,-0.43467,27,0
418,20,4,0.59222,-0.39174,27,0
419,20,5,0.59222,-0.34882,27,0
